Time[ms] CO2[ppm] O2[bar] P[bar] T[C]
430583 370.00 204.90 978.00 28.40
431251 380.00 204.90 978.00 28.40
431919 380.00 204.90 978.00 28.40
432587 380.00 204.90 978.00 28.40
433255 380.00 204.90 978.00 28.40
433923 380.00 204.90 978.00 28.40
434591 380.00 204.90 978.00 28.40
435260 380.00 204.90 978.00 28.40
435928 350.00 204.90 978.00 28.40
436596 340.00 204.90 978.00 28.40
437264 330.00 204.90 978.00 28.40
437932 320.00 204.90 978.00 28.40
438603 330.00 204.90 978.00 28.40
439271 320.00 204.90 978.00 28.40
439939 320.00 204.90 978.00 28.40
440607 330.00 204.90 978.00 28.40
441275 330.00 204.90 978.00 28.40
441943 320.00 204.90 978.00 28.40
442611 320.00 204.90 978.00 28.40
443279 310.00 204.90 978.00 28.40
443946 310.00 204.90 978.00 28.40
444614 320.00 204.90 978.00 28.40
445281 320.00 204.90 978.00 28.40
445949 310.00 204.90 978.00 28.40
446617 320.00 204.90 978.00 28.40
447285 320.00 204.90 978.00 28.40
447953 310.00 204.90 978.00 28.40
448621 310.00 204.90 978.00 28.40
449292 310.00 204.90 978.00 28.40
449961 310.00 204.90 978.00 28.40
450628 310.00 204.90 978.00 28.40
451296 310.00 204.90 978.00 28.40
451965 300.00 204.90 978.00 28.40
452633 290.00 204.90 979.00 28.40
453301 290.00 204.90 979.00 28.40
453970 300.00 204.90 979.00 28.40
454638 300.00 204.90 979.00 28.40
455306 300.00 204.90 979.00 28.40
455975 310.00 204.90 979.00 28.40
456643 310.00 204.90 979.00 28.40
457311 300.00 205.00 979.00 28.40
457979 290.00 205.00 979.00 28.40
458648 290.00 205.00 978.00 28.40
459319 310.00 205.00 978.00 28.40
459987 330.00 205.00 978.00 28.40
460655 320.00 204.90 978.00 28.40
461323 320.00 205.00 978.00 28.40
461992 320.00 205.00 978.00 28.40
462660 330.00 205.00 978.00 28.40
463328 330.00 205.00 978.00 28.40
463997 320.00 205.00 978.00 28.40
464665 320.00 204.90 978.00 28.40
465333 340.00 204.90 978.00 28.40
466001 340.00 204.90 978.00 28.40
466669 350.00 204.90 978.00 28.40
467337 340.00 204.90 978.00 28.40
468005 340.00 204.90 978.00 28.40
468673 340.00 204.90 978.00 28.40
469344 340.00 204.90 978.00 28.40
470013 360.00 204.90 978.00 28.40
470681 360.00 204.90 978.00 28.40
471349 360.00 204.90 978.00 28.40
472017 360.00 204.90 978.00 28.40
472685 360.00 204.90 978.00 28.40
473352 360.00 204.90 978.00 28.40
474020 350.00 204.90 978.00 28.40
474688 350.00 204.90 978.00 28.40
475355 350.00 204.90 978.00 28.40
476024 340.00 204.90 978.00 28.40
476692 340.00 204.90 978.00 28.40
477359 340.00 204.90 978.00 28.40
478027 340.00 204.90 978.00 28.30
478695 340.00 204.90 978.00 28.40
479365 340.00 204.90 978.00 28.40
480033 340.00 205.00 978.00 28.40
480701 340.00 205.00 978.00 28.30
481369 340.00 205.00 978.00 28.30
482037 340.00 205.00 978.00 28.40
482705 340.00 205.00 978.00 28.40
483373 340.00 205.00 978.00 28.40
484042 340.00 205.00 978.00 28.30
484710 340.00 205.00 978.00 28.40
485378 340.00 205.00 978.00 28.40
486047 320.00 205.00 978.00 28.30
486715 320.00 205.00 978.00 28.30
487383 320.00 205.00 978.00 28.30
488051 310.00 205.00 978.00 28.40
488720 300.00 205.00 978.00 28.40
489400 300.00 205.00 978.00 28.40
